respondent_id,scenario_id,primary_root_cause,secondary_root_cause,confidence_text,decision,primary_corrective_action,secondary_corrective_action,expected_effectiveness_text,urgency_text,confidence_1to5,expected_effectiveness,urgency_1to5,ScenarioID,coolant_flag,speed_drill_rpm,speed_ream_rpm,feed_mm_rev,tool_used_hr,tool_life_hr,pilot_hole_diam_mm,runout_mm,tool_overhang_mm,tool_wear_fraction
21,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
22,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
23,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
24,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
25,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
26,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
27,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
28,1,A3: Inappropriate spindle speed.,None (No secondary cause).,3- Medium,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,4: High urgency,3.0,3.0,4.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
29,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
30,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
31,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
32,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
33,1,A6: Improper pilot hole (diameter/condition).,A3: Inappropriate spindle speed.,3- Medium,D3: Hold/further investigation,C5: Modify pilot hole size or drilling process,C4: Use coolant,2: 50-70%,3: Medium urgency,3.0,2.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
34,1,A3: Inappropriate spindle speed.,None (No secondary cause).,3- Medium,D1: Rework,C2: Adjust feed speed,None,2: 50-70%,2: Low urgency,3.0,2.0,2.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
35,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
36,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
37,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
38,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
39,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
40,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
41,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
42,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
43,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
44,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
45,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
46,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
47,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
48,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
49,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
50,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
51,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
52,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
53,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
54,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
55,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
56,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
57,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C3: Adjust feed rate,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
58,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
59,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
60,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
61,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
62,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
63,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
64,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
65,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
66,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
67,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
68,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
69,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
70,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
71,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
72,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
73,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
74,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
75,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
76,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
77,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C1: Replace or regrind reamer,None,3: 70-90%,5: Very high urgency,4.0,3.0,5.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
78,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
79,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
80,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
81,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
82,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
83,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
84,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
85,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
86,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
87,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
88,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
89,1,A3: Inappropriate spindle speed.,A7: Runout/ alignment/ work holding issue.,4- High,D3: Hold/further investigation,C5: Modify pilot hole size or drilling process,"C8: Improve chip evacuation method (e.g., intermittent withdrawal/ pecking)",3: 70-90%,4: High urgency,4.0,3.0,4.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
90,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
91,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
92,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
93,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
94,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
95,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
96,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
97,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
98,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
99,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
100,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
101,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
102,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
103,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
104,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
105,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
106,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
107,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
108,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
109,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,4: High urgency,4.0,3.0,4.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
110,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
111,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
112,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
113,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,2: 50-70%,2: Low urgency,4.0,2.0,2.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
114,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
115,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
